<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>
2020.01.02	00:00:00	1518.464	1531.275	1517.172	1528.743
2020.01.03	00:00:00	1528.725	1553.419	1528.725	1548.958
2020.01.05	00:00:00	1576.329	1582.102	1566.855	1569.216
2020.01.06	00:00:00	1569.151	1579.966	1560.818	1563.706
2020.01.07	00:00:00	1563.723	1598.344	1555.277	1595.042
2020.01.08	00:00:00	1595.013	1611.365	1552.222	1558.022
2020.01.09	00:00:00	1558.016	1561.257	1540.211	1552.626
2020.01.10	00:00:00	1552.59	1560.935	1545.667	1560.215
2020.01.12	00:00:00	1559.714	1560.563	1557.998	1559.187
2020.01.13	00:00:00	1559.226	1559.957	1544.911	1545.188
2020.01.14	00:00:00	1545.196	1549.935	1535.834	1549.498
2020.01.15	00:00:00	1549.489	1558.082	1546.34	1556.252
2020.01.16	00:00:00	1556.272	1558.037	1547.955	1552.144
2020.01.17	00:00:00	1552.147	1561.156	1549.343	1557.074
2020.01.19	00:00:00	1558.947	1558.947	1556.292	1556.98
2020.01.20	00:00:00	1556.975	1562.65	1556.627	1561.177
2020.01.21	00:00:00	1561.174	1568.507	1546.314	1556.466
2020.01.22	00:00:00	1556.421	1563.677	1550.135	1561.367
2020.01.23	00:00:00	1561.378	1567.864	1551.892	1560.889
2020.01.24	00:00:00	1560.883	1575.728	1556.513	1571.508
2020.01.26	00:00:00	1581.234	1588.516	1581.234	1582.664
2020.01.27	00:00:00	1582.704	1586.182	1575.831	1581.06
2020.01.28	00:00:00	1581.057	1582.959	1565.52	1568.436
2020.01.29	00:00:00	1568.45	1577.879	1563.318	1577.019
